ctry_year,CAgdp,STDebt/Res,FXimp,CPI,Taxgdp,InterestRev,RGDPyy,GDPppp,GDPpc,FX,FXchg,CG_DEBT_GDP,default_amount,default,fx_grade,lc_grade,tc_rating,country,year,default_lag1,cluster,fx_numeric,rating_binary,pca1,pca2
TTO_2016,-3.27274,42.258058030303026,10.6266,3.07067,21.3082,10.2501,-7.52714,38381900000.0,17521.8,6.66897,0.04571269976667747,35.301973029915,0,0.0,A-,A-,AA-,TTO,2016,0.0,0,7.0,0,0.3779156260822019,1.2109666332507414
TTO_2017,5.86181,40.178688880597015,10.1209,1.88038,18.243,8.07056,-4.80083,38982300000.0,17720.5,6.77952,0.016576772725023448,39.49685084349,0,0.0,BBB+,BBB+,A,TTO,2017,0.0,0,8.0,0,0.8190838455812247,0.5413748214212887
TTO_2018,6.61739,40.661991691176475,8.73391,1.01857,19.3227,10.0121,-0.602465,40092200000.0,18076.4,6.77075,-0.001293601906919739,40.318453150393,0,0.0,BBB+,BBB+,A,TTO,2018,0.0,0,8.0,0,0.8075654261428012,0.38272603273805406
TTO_2019,4.29071,38.94120595454545,9.05171,1.00054,16.5469,13.1537,0.361272,40493700000.0,17431.0,6.75433,-0.0024251375401542763,45.66067966614,0,0.0,BBB,BBB,BBB+,TTO,2019,0.0,0,9.0,0,0.4039838064731982,0.32541110608846424
TTO_2020,15.463052666666666,39.37351539232988,9.824154666666667,5.969276,24.304346666666667,7.342509333333334,1.8457168666666666,39516080000.0,17982.873333333333,6.464756666666667,0.004737772468935372,62.723809706559,0,0.0,BBB-,BBB-,BBB,TTO,2020,0.0,0,10.0,0,1.0853580243664618,0.498244862475513
TTO_2021,15.463052666666666,39.37351539232988,9.824154666666667,5.969276,24.304346666666667,7.342509333333334,1.8457168666666666,39516080000.0,17982.873333333333,6.464756666666667,0.004737772468935372,57.764515743759,0,0.0,BBB-,BBB-,BBB,TTO,2021,0.0,0,10.0,0,1.0854871378082374,0.45749420314862516
TUN_2005,-0.927372,68.9255,3.30887,2.01779,18.8775,9.63758,3.48655,83243200000.0,3146.83,1.29743,0.04171919034581317,49.976617967523,0,0.0,BBB,A,BBB,TUN,2005,0.0,0,9.0,0,0.26621915081993147,0.20622458311026554
TUN_2006,-1.80172,48.2607,4.52735,3.22525,18.5107,9.31195,5.2441,90310300000.0,3322.57,1.33102,0.025889643371896698,45.715139972816,0,0.0,BBB,A,A-,TUN,2006,0.0,0,9.0,0,0.27923024737435503,-0.26671889491371814
TUN_2007,-2.35618,49.6139,4.17943,2.96694,19.0679,8.76215,6.70952,98980600000.0,3726.92,1.28136,-0.03730973238568924,42.704381630427,0,0.0,BBB,A,A-,TUN,2007,0.0,0,9.0,0,0.45068067250464927,-0.42071542517050414
TUN_2008,-3.81469,47.9055,3.71017,4.34503,20.4998,7.00134,4.23778,105163000000.0,4255.05,1.23214,-0.03841231191858652,41.362744845925,0,0.0,BBB,A,A-,TUN,2008,0.0,0,9.0,0,0.4965549643780041,-0.09637341014657375
